code,id,size,lon,lat
ORD,0,24,-87.8825,41.9796
DEN,1,28,-104.672,39.8396
PHX,2,25,-112.03,33.4376
LAS,3,26,-115.143,36.0806
SLC,4,23,-111.982,40.7862
MSP,5,23,-93.1987,44.8793
MCO,6,22,-81.3115,28.4418
LGA,7,16,-73.8756,40.7731
BOS,8,20,-71.0281,42.3717
SEA,9,20,-122.296,47.4405
PHL,10,21,-75.2419,39.8768
MDW,11,20,-87.7416,41.7875
MEM,12,17,-89.9823,35.047
IAD,13,22,-77.4484,38.9556
OAK,14,14,-122.209,37.7158
MIA,15,19,-80.2727,25.7953
CLE,16,21,-81.8339,41.4115
RDU,17,17,-78.7923,35.8729
BNA,18,19,-86.6682,36.1342
HOU,19,12,-95.2795,29.6572
DAL,20,4,-96.8496,32.8439
SNA,21,8,-117.859,33.6813
PIT,22,15,-80.2328,40.4914
MSY,23,18,-90.2569,29.983
ABQ,24,15,-106.625,35.0494
RSW,25,11,-81.7531,26.5228
PBI,26,7,-80.0889,26.6909
BUR,27,6,-118.352,34.1963
TUS,28,11,-110.936,32.1204
OKC,29,12,-97.5974,35.3981
